PM2.5,NO2,PM10,NO,NOx,O3,tavg,AQI
65.78,40.09,180.67,18.75,55.98,54.47,28,246
119.82,51.11,268.65,26.27,66.92,65.72,30.2,378
125.53,64.73,308.82,32.69,87.58,65.08,32,406
121.51,60.41,336.63,18.14,68.41,87.04,32.8,392
114.5,50.7,327.81,23.52,63.45,74.49,31.8,391
101.83,55.27,279.41,26.26,72.67,69.41,30.8,368
118.57,76.46,273.68,33.93,96.19,76.14,30.8,365
143.22,88.61,313.53,42.58,108.55,89.42,31.1,383
106.76,58.87,318.88,22.5,71.34,93.54,30.4,367
65.36,31.23,160.3,13.17,38.68,77.43,28.8,334
67.08,35.54,174.5,13.18,44.09,70.74,30.2,258
81.37,34.88,141.25,11.98,43.91,70.42,31.1,234
63.76,42.98,131.56,12.09,51.34,61.86,31.4,257
60.56,43.9,171.42,12,48.72,60.18,32.7,259
76.1,42.99,192.81,13.14,52.01,53.16,31.2,279
72.66,62.09,206.1,25.56,76.22,43.06,30.2,312
121.94,83.3,334.02,52.12,100.84,41.71,30.9,372
108.98,85.5,326.71,52,112.64,37.7,30.8,387
145.99,107.85,366.85,75.13,150.76,50.27,32.3,408
171.33,87.88,346.98,53.42,122.67,92.66,34.2,398
117.76,63.18,343.12,19.74,73.07,75.6,35.7,403
90.66,56.54,305.38,25.55,73.9,74.84,34.1,361
106.4,63.57,285.38,43.33,96.25,76.38,35,378
101.21,57.51,283.47,20.83,65.08,67.97,35.1,381
97.57,42.7,336.82,11.91,48.43,87.93,34.4,388
96.34,43.04,293.26,11.54,48.09,83.43,33.1,346
83.42,48.61,174.52,10.5,45.79,55.62,28.2,328
78.06,42.22,196.08,16.38,53.26,57.1,29.9,291
97.87,63.55,240.34,27.46,81.14,77.87,28.7,396
77.52,75.5,186.28,24.05,91.36,73.24,30.1,297
97.16,57.63,188.39,15.83,65.15,70.29,33.2,345
66.85,47.64,172.35,9.2,55.88,79.02,35.6,296
89.85,75.47,240.31,16.42,70.51,79.55,31.4,319
67.41,52.69,176.25,21.7,60.6,57.17,33.2,282
75.54,53.03,335.13,27.16,63.55,42.61,35.8,352
67.91,56.84,235.99,34.97,77.1,64.34,36.3,338
69.02,52.79,313.73,38.94,75.32,66.63,37.3,321
79.1,56.29,251.52,32.09,69.04,60.08,36.2,295
117.27,60.65,340.66,51.72,102.66,95.72,37.8,344
